Word,POS,count
!,.,6
#,#,16
$,$,718
%,JJ,1
%,NN,445
&,CC,85
&,SYM,1
','',10
',POS,63
'','',684
'30s,CD,1
'40s,CD,1
'50s,CD,1
'80s,CD,1
'82,CD,1
'86,CD,1
'S,VBZ,1
'd,MD,5
'll,MD,7
'm,VBP,13
're,VBP,29
's,POS,761
's,VBZ,103
've,VBP,16
*,-NONE-,965
*-1,-NONE-,1123
*-10,-NONE-,2
*-100,-NONE-,1
*-101,-NONE-,1
*-102,-NONE-,2
*-103,-NONE-,1
*-104,-NONE-,1
*-105,-NONE-,1
*-106,-NONE-,1
*-107,-NONE-,1
*-108,-NONE-,1
*-109,-NONE-,1
*-11,-NONE-,2
*-110,-NONE-,1
*-111,-NONE-,1
*-112,-NONE-,1
*-113,-NONE-,1
*-114,-NONE-,1
*-115,-NONE-,1
*-116,-NONE-,1
*-117,-NONE-,1
*-118,-NONE-,1
*-119,-NONE-,1
*-12,-NONE-,2
*-120,-NONE-,1
*-121,-NONE-,1
*-122,-NONE-,1
*-123,-NONE-,1
*-124,-NONE-,1
*-125,-NONE-,1
*-126,-NONE-,1
*-127,-NONE-,1
*-128,-NONE-,2
*-129,-NONE-,1
*-13,-NONE-,2
*-130,-NONE-,1
*-131,-NONE-,1
*-132,-NONE-,1
*-133,-NONE-,1
*-134,-NONE-,1
*-135,-NONE-,1
*-136,-NONE-,1
*-137,-NONE-,1
*-138,-NONE-,1
*-139,-NONE-,1
*-14,-NONE-,2
*-140,-NONE-,1
*-141,-NONE-,1
*-142,-NONE-,1
*-144,-NONE-,1
*-145,-NONE-,1
*-146,-NONE-,1
*-147,-NONE-,1
*-149,-NONE-,1
*-15,-NONE-,2
*-150,-NONE-,1
*-151,-NONE-,1
*-152,-NONE-,1
*-153,-NONE-,1
*-154,-NONE-,1
*-155,-NONE-,1
*-156,-NONE-,1
*-157,-NONE-,1
*-158,-NONE-,1
*-159,-NONE-,1
*-16,-NONE-,2
*-160,-NONE-,1
*-161,-NONE-,1
*-162,-NONE-,1
*-163,-NONE-,2
*-164,-NONE-,1
*-165,-NONE-,1
*-166,-NONE-,1
*-17,-NONE-,2
*-18,-NONE-,2
*-19,-NONE-,2
*-2,-NONE-,372
*-20,-NONE-,2
*-21,-NONE-,2
*-22,-NONE-,2
*-23,-NONE-,2
*-24,-NONE-,2
*-25,-NONE-,3
*-26,-NONE-,2
*-27,-NONE-,2
*-28,-NONE-,2
*-29,-NONE-,2
*-3,-NONE-,130
*-30,-NONE-,1
*-31,-NONE-,2
*-32,-NONE-,2
*-33,-NONE-,2
*-34,-NONE-,2
*-35,-NONE-,2
*-36,-NONE-,2
*-37,-NONE-,2
*-38,-NONE-,2
*-39,-NONE-,2
*-4,-NONE-,34
*-40,-NONE-,2
*-41,-NONE-,2
*-42,-NONE-,2
*-43,-NONE-,2
*-44,-NONE-,2
*-45,-NONE-,2
*-46,-NONE-,2
*-47,-NONE-,2
*-48,-NONE-,2
*-49,-NONE-,2
*-5,-NONE-,11
*-50,-NONE-,2
*-51,-NONE-,2
*-52,-NONE-,4
*-53,-NONE-,2
*-54,-NONE-,2
*-55,-NONE-,2
*-56,-NONE-,2
*-57,-NONE-,2
*-58,-NONE-,1
*-59,-NONE-,2
*-6,-NONE-,4
*-60,-NONE-,2
*-61,-NONE-,2
*-62,-NONE-,2
*-63,-NONE-,2
*-64,-NONE-,3
*-66,-NONE-,1
*-67,-NONE-,2
*-68,-NONE-,2
*-69,-NONE-,2
*-7,-NONE-,4
*-70,-NONE-,2
*-71,-NONE-,2
*-72,-NONE-,2
*-73,-NONE-,3
*-74,-NONE-,2
*-75,-NONE-,1
*-76,-NONE-,2
*-77,-NONE-,1
*-78,-NONE-,2
*-79,-NONE-,2
*-8,-NONE-,2
*-80,-NONE-,3
*-81,-NONE-,2
*-82,-NONE-,1
*-83,-NONE-,2
*-84,-NONE-,2
*-85,-NONE-,2
*-86,-NONE-,1
*-87,-NONE-,2
*-88,-NONE-,1
*-89,-NONE-,1
*-9,-NONE-,2
*-90,-NONE-,1
*-91,-NONE-,1
*-92,-NONE-,1
*-93,-NONE-,1
*-94,-NONE-,1
*-95,-NONE-,1
*-96,-NONE-,1
*-97,-NONE-,1
*-98,-NONE-,2
*-99,-NONE-,1
*?*,-NONE-,45
*EXP*-1,-NONE-,33
*EXP*-2,-NONE-,8
*EXP*-3,-NONE-,3
*ICH*-1,-NONE-,70
*ICH*-2,-NONE-,34
*ICH*-3,-NONE-,13
*ICH*-4,-NONE-,5
*NOT*,-NONE-,1
